ID,DOI,Year,Title,Authors,Country,Venue,Input features,Method,dataset,Input features.1,Metrics,Q2,Q3,Q4,Category
73,10.1016/j.eswa.2024.123419,2024,Pull together: Option-weighting-enhanced mixture-of-experts knowledge tracing,Tao Huang; Xinjia Ou; Huali Yang; Shengze Hu; Jing Geng; Zhuoran Xu; Zongkai Yang,China,journal,"- Exercise index
- Correct answer
- Response result (correctly or incorrectly) 
- Option chosen by the learner 
- Option weight","the option-weighting-enhanced mixture-of-experts knowledge tracing (WEKT) model, which employs option weighting scoring with exercise difficulty adjustment, a mixture-of-experts framework with task-specific and task-common experts for predicting correctness and options, and an expert structure combining attention mechanisms, LSTM, and gating networks.","- EdNet-KT1: 100,000 students. 
- Eedi: 118,971 students. 
- ENEM: 10,000 records","- Exercise index
- Correct answer
- Response result (correctly or incorrectly) 
- Option chosen by the learner 
- Option weight","AUC, ACC, RMSE","To tackle the issue of sparse educational data, the model employs comparative learning to identify similar or dissimilar examples from historical data.",No,No,Memory-Augmented
74,,2024,RIGL: A Unified Reciprocal Approach for Tracing the Independent and Group Learning Processes,X. Yu; C. Qin; D. Shen; S. Yang; H. Ma; H. Zhu; X. Zhang,China,conference,Sequences of questions and asnwers,"DKT [29], SAKT [25], AKT [7], LPKT [36], GIKT [47], simpleKT [18],
AT-DKT [17] and DTransformer [49]

Relation-Guided Temporal Attentive 
Network","
- ASSIST12
- NIPS-Edu
- SLP-Math
- SLP-Bio",Sequences of questions and asnwers,"The evaluation metrics include AUC and ACC for individual-level performance prediction, and RMSE and MAE for group-level performance prediction.","we argue that a learner may have response biases, such as careless responses or guessing responses, when performing questions over a period of time. Along this line, we design a bias-aware contrastive learning module for learning robust representations.","From the visualization, we can observe that the individual�s mastery of the corresponding concept of the exercise increases even if it is answered incorrectly, which implies that wrongly responding to the exercise also brings knowledge gain. In addition, it can be seen that the knowledge gained from individual learning affects the group�s knowledge level, yet the degree of impact varies under different time frames, meaning that the effect of the individual on the group varies over time, which is in line with the real scenario.

",No process-level interpretability,Attentive
75,,2024,Self-paced contrastive learning for knowledge tracing,Huan Dai; Yue Yun; Yupei Zhang; Rui An; Wenxin Zhang; Xuequn Shang,China,journal,question-answer pair sequences,"Self-paced learning data augmentation, Self-supervised contrastive learning, Deep knowledge tracing framework grounded in self-paced contrastive learning, Self-paced regularization term, Contrastive loss function, Deep Knowledge Tracing (DKT) model","assistments2009: 4,151 students, 123 skills, 325,637 records ASSISTments2015: 19,840 students, 100 skills, 683,801 records KDDcup2010: 574 students, 437 skills, 808,775 records STATIC2011: 333 students, 1,223 skills, 189,297 records",question-answer pair sequences,"AUC, ACC, F1","""To mitigate the deep learning model's overemphasis on local samples and to improve its capacity to learn from global samples, this paper introduces an innovative contrastive learning strategy... To tackle the problem of sample imbalance, the paper assigns varying weights to local and global information.""","""illustrates the fluctuations
in a student�s ability levels across three distinct skills. The first column
of the figure represents the student�s initial ability state. As the student
responds to questions associated with each skill, their ability levels for
each point undergo gradual changes. Here are some key observations
from the figure: (1) Dynamic Ability Evolution: The student�s ability
levels evolve dynamically as they answer questions. When the student
correctly answers the first question, the mastery level of the second skill
increases. Conversely, when the student answers the last four questions
incorrectly, the mastery level of the second skill starts to decline.
Additionally, after the student answers the sixth question incorrectly,
the mastery level of the ninth skill also decreases. (2) Identification
of Mastery: After responding to a total of 36 questions, it becomes
apparent that the student has not yet mastered the second skill.""",No,Hybrid/Meta
76,,2023,SFBKT: A Synthetically Forgetting Behavior Method for Knowledge Tracing,Qi Song; Wenjie Luo,China,journal,"The input features for the model include repetition intervals, sequence intervals, past practice times, and embedding vectors derived from practice records. These features are combined into a joint input data vector that is fed into the CTLSTM network.","Synthetically Forgetting Behavior Knowledge Tracing (SFBKT) model, Continuous-Time Long Short-Term Memory Network (CTLSTM), Collaborative Filtering, DKT + Forgetting, HawkesKT","Total: 112,400
- ASSISTment09-10: 3,700
- ASSISTment12-13: 25,300
- ASSISTment17: 1,700
- Slepemapy.cz: 81,700","The input features for the model include repetition intervals, sequence intervals, past practice times, and embedding vectors derived from practice records. These features are combined into a joint input data vector that is fed into the CTLSTM network.",AUC,The paper addresses data sparsity by removing records with fewer than five practice entries and limiting analysis to the first 50 interactions per user. It also deals with data inconsistency by assuming uniform time intervals in the absence of timestamps.,No,No,Forgetting-Aware
77,,2022,SGKT: Session graph-based knowledge tracing for student performance prediction,Zhengyang Wu; Li Huang; Qionghao Huang; Changqin Huang; Yong Tang; M Ahmad; S Alanazi,China,journal,The input features for the model are one-hot encoded student responses and one-hot encoded skills at the next time step.,"SGKT (Session Graph-based Knowledge Tracing), Gated Graph Neural Networks (GGNN), Graph Convolutional Networks (GCN), Gated Recurrent Units (GRUs), Self-attention mechanism with a forgetting mechanism, Gradient Descent","- ASSISTments 2009-2010: 4,151 students
- ASSISTments 2015: 19,840 students
- OLI Engineering Statics 2011: 333 students
- Synthetic-5: 4,000 students",The input features for the model are one-hot encoded student responses and one-hot encoded skills at the next time step.,AUC,"

we study the performance in two cold start scenarios, i.e., training with data of a few students and new students with short exercise sequences.

Although this work considers the cold start issue in the experiments, our model did not perform any optimization and more analysis is needed.","Prediction waviness is defined as follows: for an individual student, prediction waviness can be obtained according to the observed input and the change in the corresponding prediction at two different time steps.",No,Forgetting-Aware
78,,2022,SPAKT: A Self-Supervised Pre-TrAining Method for Knowledge Tracing,Yuling Ma; Peng Han; Huiyan Qiao; Chaoran Cui; Yilong Yin; Dehu Yu; AS Garc�a,China,journal,"exercise IDs, skill IDs, and the model uses exercise difficulty level (calculated from student performance data) as self-supervised information.","three BERT-based self-attention modules to model exercise-exercise (E-E), skill-skill (S-S), and exercise-skill (E-S) relationships through a masked prediction mechanism and a self-supervised difficulty prediction task.","ASSIST2009 (4,151 students, 16,891 exercises, 101 skills, 283,104 interactions), ASSIST2012 (28,834 students, 50,983 exercises, 198 skills, 2,629,870 interactions), and EdNet (5,000 students, 12,368 exercises, 188 skills, 8,155,706 interactions)","exercise IDs, skill IDs, and the model uses exercise difficulty level (calculated from student performance data) as self-supervised information.",AUC,No,"Heatmap: ""SPAKT can learn the
relationship between exercises and skills, to a certain extent.
Take the exercise No.1361 as an example, the predicted skill
No.6 is obviously owning the higher probability compared
with other predicted skills, and it happens to be the real label
of the exercise No.1361. Similar findings can be obtained
from other four exercises.""",No,Memory-Augmented
79,,2024,Stable Knowledge Tracing Using Causal Inference,Jia Zhu; Xiaodong Ma; Changqin Huang,China,journal,Sequences of questions and asnwers,"convolutional neural networks (CNN) to construct autoencoder models. 

BKT [41], 
PFA [42], BKT+FSA that is BKT all three extensions [47], 
DKVMN [53], DKT [12], and DKT+ [15].","- ASSISTMENTS2009
- ASSISTMENTS2015
- Statics2011
- Simulated-5",Sequences of questions and asnwers,"AUC, F1 score",No,"As shown in Figs. 4 and 5, we can observe that the proposed approach has a better performance in terms of accuracy of knowledge state prediction as well as stability of predicted changes compared to DKT. For example, when the student repeatedly answers knowledge concept 32 incorrectly, the proposed approach predicts that the knowledge state of concept 32 decreases gradually. In comparison, DKTs knowledge state prediction is in higher volatility",No,Hybrid/Meta
80,10.1007/s10639-023-12334-y,2024,Temporal learner modelling through integration of neural and symbolic architectures,Danial Hooshyar,Estonia,journal,"learners' use of the computational thinking concepts (conditional, loop, simulation, function, and debug) over a time window of 10 time steps","autoencoders and neural-symbolic AI for synthetic data generation, and developing dynamic Bayesian networks with parameters learned using expectation maximization.",339 participants from closed dataset,"learners' use of the computational thinking concepts (conditional, loop, simulation, function, and debug) over a time window of 10 time steps","accuracy, precision, recall, and F1 score","paper addresses data inconsistency by filtering out missing records and incomplete solutions, data imbalance by using discretization and stratified sampling, and data sparsity by generating synthetic training data using autoencoders.","use of sensitivity analysis to evaluate how changes in input variables affect the model's predictions, thereby assessing prediction fluctuation.",No,Hybrid/Meta
81,,2023,TGKT-Based Personalized Learning Path Recommendation with Reinforcement Learning,Z. Chen; Z. Wu; Y. Tang; J. Zhou,China,conference,Sequences of questions and asnwers,"Full Convolution Network
Soft Actor-Critic reinforcement learning method","
- ASSIST09 
- ASSIST12",Sequences of questions and asnwers,"The three metrics we compare are average 
of reward, total mastery degree and total running time",No,"At the initial stage, the mastery level of each skill is low, but after a period of practice, the learner�s relevant knowledge state gradually improves. Although there may be some fluctuations during the training process, the learner�s final knowledge state can reach a high and relatively stable level.","The paper addresses interpretability by using temporal convolutional networks and graph attention networks to capture temporal features and relationships between learning resources, and by employing an Actor-Critic reinforcement learning method to simulate real educational scenarios. This approach aims to make personalized learning path recommendations more understandable and aligned with learners' goals and dynamic features. Interpretability is evaluated through experiments demonstrating the model's ability to adapt to learners' changing knowledge states and goals.


No process-level interpretability",Attentive
82,,2024,Towards more accurate and interpretable model: Fusing multiple knowledge relations into deep knowledge tracing,Zhiyi Duan; Xiaoxiao Dong; Hengnian Gu; Xiong Wu; Zhen Li; Dongdai Zhou,China,journal,"The input features for the DKTMR model include the representation vectors of exercises (knowledge points) and the binary correctness of answers (1 for correct, 0 for incorrect) for each exercise-answer pair.","DGGAN, GraphGAN, Gated Recurrent Unit (GRU), attention-based fusion method","- ASSISTments: 4,151 students
- Junyi: 1,000 students
- EdNet: 11,368 students
- KDDCup: 1,086 students","The input features for the DKTMR model include the representation vectors of exercises (knowledge points) and the binary correctness of answers (1 for correct, 0 for incorrect) for each exercise-answer pair.","AUC, F1, ACC",The paper addresses data inconsistency by using an updated version of the ASSISTments dataset to handle duplicated records and discards incomplete records during preprocessing. Dropout is used to prevent overfitting.,"The grid marked with a red box in the figure indicates that the prediction results of the three models are inconsistent, where the number _ _ {_2, _1, 1, 2} represents the comparison results among DKT, SKT and DKTMR. Specifically, we denote the prediction results of DKT, SKT and DKTMR as ____, ____ , ____ _ {0, 1} respectively, where 1 indicates the prediction result of the model is correct; else, it is 0.",No,Hybrid/Meta
83,,2023,What is wrong with deep knowledge tracing? Attention-based knowledge tracing,Xianqing Wang; Zetao Zheng; Jia Zhu; Weihao Yu; ZP Lin; LJ Dong; L Wei,China,journal,Sequences of questions and asnwers,LSTM + attention head (Multihead self-attention),"ASSIST2009,ASSIST2015,ASSISTChall,Statics2011,Simulated-5",Sequences of questions and asnwers,"AUC, F1 score",No,"Our two models perform smoother than DKT as self-attention considers the global dependency among each item of the input, which can significantly prevent the wavy transition of the prediction",No process-level interpretability,Hybrid/Meta
84,10.5555/2969442.2969513,2015,Deep Knowledge Tracing,Chris Piech; Jonathan Bassen; Jonathan Huang; Surya Ganguli; Mehran Sahami; Leonidas J. Guibas; Jascha Sohl-Dickstein,USA,conference,"Student interaction sequences consisting of question-answer pairs, where each interaction includes a question identifier and whether the student answered correctly (binary response).",Recurrent Neural Networks (LSTM-based Deep Knowledge Tracing model) trained to predict student performance on future questions based on past interaction sequences.,"ASSISTments 2009: 4,151 students, 110 knowledge components, 325,637 interactions; Synthetic datasets generated for controlled experiments","Student interaction sequences consisting of question-answer pairs, where each interaction includes a question identifier and whether the student answered correctly (binary response).","AUC, Accuracy",No,Qualitative visualization through heatmaps showing knowledge state evolution over time. Introduces the concept of temporal consistency for evaluating model predictions across learning sequences.,No process-level interpretability techniques implemented,Sequence Modeling
